運ゲー度の定量評価とn試合先取 , https://note.com/pyran19/n/n715f8c572d05
型共有はどうしてダメなの？ , https://note.com/pyran19/n/nb0aae07d54f2
ポケモンのためのゲーム理論 ～等パワー環境におけるナッシュ均衡～ , https://note.com/pyran19/n/nbcfb4945c690
複数の均衡を持つ対戦ゲーム , https://note.com/pyran19/n/nca46b7b9ef73
構築の“パワー”と“相性”はこう分かれる！──abc構築系で考える強さの本質 , https://note.com/pyran19/n/n497fc693c3b7
レート戦は２アカウント作って低い方で潜れ , https://note.com/pyran19/n/n81678356fc5f
ザシアン算のすゝめ , https://note.com/pyran19/n/nd1304fe81486
ステラバ1on1 鉢巻カイリュー(R1615) , https://note.com/pyran19/n/nfddc70a67a80
行列ゲームでポケモンしたい！ , https://note.com/pyran19/n/nbeb1a3b601fa
複合タイプ同士のポケモンの相性評価 , https://note.com/pyran19/n/ncfc363ce82ee
簡易ポケモン：2匹構築1匹選出ゲーム , https://note.com/pyran19/n/n610eb5411086
ポケモンSV：レートの人口分布調査 , https://note.com/pyran19/n/n9c4ff4fb60ff
レーティングの仕組みから見る「最終日」の重要性 part1：レーティングの定義と実際に使われている計算式 , https://note.com/pyran19/n/n2a27c0239b6b
択ゲーのキホン！2×2問題をゲーム理論で考える 考察編 , https://note.com/pyran19/n/n600efebb91b8
総合耐久指数H(B+D)対HBD/(B+D)はどう違う！？-一次近似のお話- , https://note.com/pyran19/n/n90a5149185eb
択ゲーのキホン！2×2問題をゲーム理論で考える , https://note.com/pyran19/n/nccc6ed5e2ad1
ポケモンの択はモンティ・ホール問題になるのか , https://note.com/pyran19/n/n1fff7714f756
【原神】聖遺物の最適な配分比からのずれ , https://note.com/pyran19/n/n3a6172f58fad
運ゲー度の定量評価とn試合先取 , https://note.com/pyran19/n/n715f8c572d05
型共有はどうしてダメなの？ , https://note.com/pyran19/n/nb0aae07d54f2
ポケモンのためのゲーム理論 ～等パワー環境におけるナッシュ均衡～ , https://note.com/pyran19/n/nbcfb4945c690
複数の均衡を持つ対戦ゲーム , https://note.com/pyran19/n/nca46b7b9ef73
構築の“パワー”と“相性”はこう分かれる！──abc構築系で考える強さの本質 , https://note.com/pyran19/n/n497fc693c3b7
レート戦は２アカウント作って低い方で潜れ , https://note.com/pyran19/n/n81678356fc5f
ザシアン算のすゝめ , https://note.com/pyran19/n/nd1304fe81486
ステラバ1on1 鉢巻カイリュー(R1615) , https://note.com/pyran19/n/nfddc70a67a80
行列ゲームでポケモンしたい！ , https://note.com/pyran19/n/nbeb1a3b601fa
複合タイプ同士のポケモンの相性評価 , https://note.com/pyran19/n/ncfc363ce82ee
簡易ポケモン：2匹構築1匹選出ゲーム , https://note.com/pyran19/n/n610eb5411086
ポケモンSV：レートの人口分布調査 , https://note.com/pyran19/n/n9c4ff4fb60ff
レーティングの仕組みから見る「最終日」の重要性 part1：レーティングの定義と実際に使われている計算式 , https://note.com/pyran19/n/n2a27c0239b6b
択ゲーのキホン！2×2問題をゲーム理論で考える 考察編 , https://note.com/pyran19/n/n600efebb91b8
総合耐久指数H(B+D)対HBD/(B+D)はどう違う！？-一次近似のお話- , https://note.com/pyran19/n/n90a5149185eb
択ゲーのキホン！2×2問題をゲーム理論で考える , https://note.com/pyran19/n/nccc6ed5e2ad1
ポケモンの択はモンティ・ホール問題になるのか , https://note.com/pyran19/n/n1fff7714f756
【原神】聖遺物の最適な配分比からのずれ , https://note.com/pyran19/n/n3a6172f58fad
チャンミ勝率の計算 , https://note.com/pyran19/n/ncb900102296d
統計からみるレギュレーションD中盤環境（8/11） , https://note.com/pyran19/n/nf72c7026a61f
摂動論的なミニマックス戦略の計算 , https://note.com/pyran19/n/n659dae6b4e70
ゲーム理論を用いた簡易ポケモン対戦体験記 , https://note.com/pyran19/n/n5f723403c6ea
ポケモンHOMEのデータを用いた環境推定 , https://note.com/pyran19/n/nb02b1167fb6d
ポケモン：情報アドがある状態の択ゲーについてその２ , https://note.com/pyran19/n/n2eaa8bf7e859
ポケモン対戦：情報アドがある状態での択ゲーについてその１ , https://note.com/pyran19/n/nfae40795bb7e
不意打ち択について計算してみた , https://note.com/pyran19/n/n6c202f8ca919
交換読み択のゲーム理論的な考察 , https://note.com/pyran19/n/nad4b3440f1a9
空振り保険フワライドの確率計算 , https://note.com/pyran19/n/n382192e6987d
ポケモン：構築の組み方理論その２ , https://note.com/pyran19/n/n6e276433bc7b
ポケモン：構築の組み方理論おまけ実践編 , https://note.com/pyran19/n/ne360572e34b7
ポケモン：構築の組み方理論その１ , https://note.com/pyran19/n/n1a1a967ecdc0
ゲーム理論を用いたポケモンのすばやさ調整 , https://note.com/pyran19/n/ne6755ff2f97d
SSRマルゼンとSRエルの件についての解説 , https://note.com/pyran19/n/nc9adbb15b16b
技の使用率からの型の使用率推測 , https://note.com/pyran19/n/ncea960845316
根性ってどれくらい効果あるの？Part3/3 スタミナ編 , https://note.com/pyran19/n/n3dfbc56f5165
根性ってどれくらいの効果があるの？Part2/3 スピード編 , https://note.com/pyran19/n/nce863d6edbb6
【ウマ娘】根性ってどれくらい効果あるの？Part1/3　計算のやり方編 , https://note.com/pyran19/n/n0fe15f0a8152
ポケモンの眠り技によるアド（第9世代） , https://note.com/pyran19/n/n5788190c5224
受けポケモンに積み技を覚えさせる効果の計算 , https://note.com/pyran19/n/n02ed1fdd72e2
